id,portfolio_id,date,symbol,type,asset,stock_type,amount,price,fee,note,status,created_at
"5e1832b2-9301-4843-ad22-b134e80566fc","fcfdd1e0-bf53-4910-89e7-8ca2474d4c27","2025-04-15T09:00:00+00:00","CASH","DEPOSIT","Cash","Cash","216.84","1","0",,"CONFIRMED","2025-09-25T17:00:21.126419+00:00"
"9005c10c-38d9-4300-96c8-06bc53942eef","fcfdd1e0-bf53-4910-89e7-8ca2474d4c27","2025-04-30T17:04:00+00:00","ISRG","BUY","Stock","Compounders","0.02","511.42","0",,"CONFIRMED","2025-09-25T17:00:21.126419+00:00"
"0c46b593-f2bd-4ce3-bb37-0af8c22f4721","fcfdd1e0-bf53-4910-89e7-8ca2474d4c27","2025-04-30T17:12:00+00:00","AMZN","BUY","Stock","Mid-Tier","0.082","181.78","0",,"CONFIRMED","2025-09-25T17:07:03.093501+00:00"
"9d3a832c-fa02-4cf3-9371-054b74e559d8","fcfdd1e0-bf53-4910-89e7-8ca2474d4c27","2025-04-30T17:17:00+00:00","NVDA","BUY","Stock","Growth","0.139","107.69","0",,"CONFIRMED","2025-09-25T17:12:27.244052+00:00"
"65499fb2-799d-4351-8154-0f63069e5f72","fcfdd1e0-bf53-4910-89e7-8ca2474d4c27","2025-05-06T09:00:00+00:00","CASH","DEPOSIT","Cash","Cash","922.56","1","0",,"CONFIRMED","2025-09-25T17:00:21.126419+00:00"
"4f2bab99-8da0-42c0-a9c5-88d4b26a4b14","fcfdd1e0-bf53-4910-89e7-8ca2474d4c27","2025-05-22T17:18:00+00:00","NVDA","BUY","Stock","Growth","1.144","130.918","0",,"CONFIRMED","2025-09-25T17:12:59.361949+00:00"
"8e20115f-d6ae-4b66-b75e-9a2ad895945d","fcfdd1e0-bf53-4910-89e7-8ca2474d4c27","2025-05-23T09:00:00+00:00","CASH","DEPOSIT","Cash","Cash","244.05","1","0",,"CONFIRMED","2025-09-25T17:00:21.126419+00:00"
"38d69aac-30dd-4ba5-a8aa-d6adec51ceea","fcfdd1e0-bf53-4910-89e7-8ca2474d4c27","2025-05-23T09:00:00+00:00","CASH","DEPOSIT","Cash","Cash","213.93","1","0",,"CONFIRMED","2025-09-25T17:00:21.126419+00:00"
"63b14c6e-356a-4792-b443-98d9d4ae699a","fcfdd1e0-bf53-4910-89e7-8ca2474d4c27","2025-05-27T17:18:00+00:00","NVDA","BUY","Stock","Growth","1","135.1","0",,"CONFIRMED","2025-09-25T17:13:37.181165+00:00"
"27d6956e-e467-4b17-b132-1dd7aa850403","fcfdd1e0-bf53-4910-89e7-8ca2474d4c27","2025-06-22T09:00:00+00:00","CASH","DEPOSIT","Cash","Cash","456.76","1","0",,"CONFIRMED","2025-09-25T17:00:21.126419+00:00"
"7aabf831-5ae3-4927-a0a8-b59fadcec964","fcfdd1e0-bf53-4910-89e7-8ca2474d4c27","2025-07-03T09:00:00+00:00","CASH","DEPOSIT","Cash","Cash","63.05","1","0",,"CONFIRMED","2025-09-25T17:00:21.126419+00:00"
"230404c3-a603-4251-a0f1-196208249a63","fcfdd1e0-bf53-4910-89e7-8ca2474d4c27","2025-07-22T09:00:00+00:00","CASH","DEPOSIT","Cash","Cash","194.68","1","0",,"CONFIRMED","2025-09-25T17:00:21.126419+00:00"
