id,portfolio_id,date,symbol,type,asset,stock_type,amount,price,fee,note,status,created_at
"7fb42eca-87f1-4c2a-82e0-3ec64dcfa4e1","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-07-24T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","77.41","1","0","Deposit ฿2,500 -> $77.42","CONFIRMED","2026-09-04 15:58:21"
"ab6e7e02-5733-4dc1-9b8d-1d65ace10f43","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-07-24T14:30:00.000Z","SCHG","BUY","ETF","ETF","2.54075","29.998857","0","DCA SCHG","CONFIRMED","2026-09-04 15:58:21"
"1d14f08b-8453-45dd-8d75-759d9675e988","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-08-01T00:00:00.000Z","CASH","INTEREST","Cash","Cash","0.01","1","0","Credit Interest","CONFIRMED","2026-09-04 15:58:21"
"0c9400f2-b5b6-432c-af57-dda362bdb9cf","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-08-07T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","77.09","1","0","Deposit ฿2,500 -> $77.09","CONFIRMED","2026-09-04 15:58:21"
"26a65a2d-3f73-4859-97ac-f7baa44d4115","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-08-07T14:30:00.000Z","SCHG","BUY","ETF","ETF","2.42656","30.269038","0","DCA SCHG","CONFIRMED","2026-09-04 15:58:21"
"abea2dc8-4d1e-4640-85e2-40b00de8a614","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-08-21T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","76.48","1","0","Deposit ฿2,500 -> $76.48","CONFIRMED","2026-09-04 15:58:21"
"9a3802ef-9e7b-4a4c-98bc-6ef7e5cd2cee","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-08-21T14:30:00.000Z","SCHG","BUY","ETF","ETF","2.5401","30.108779","0","DCA SCHG","CONFIRMED","2026-09-04 15:58:21"
"28d4466d-ce1e-4695-99c5-b6fd570796e5","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-09-01T00:00:00.000Z","CASH","INTEREST","Cash","Cash","0.03","1","0","Credit Interest","CONFIRMED","2026-09-04 15:58:21"
"4505c759-4d4c-4a91-b79e-efe6f86282ea","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-09-04T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","77.19","1","0","Deposit ฿2,500 -> $77.19","CONFIRMED","2026-09-04 15:58:21"
"ca217561-0f64-4789-87d2-20740ad297ae","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-09-04T14:30:00.000Z","SCHG","BUY","ETF","ETF","2.52107","30.609762","0","DCA SCHG","CONFIRMED","2026-09-04 15:58:21"
"cec0d9b4-ffdc-4d37-b6bc-d0a0c72bc2b3","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-09-18T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","78.13","1","0","Deposit ฿2,500 -> $78.13","CONFIRMED","2026-09-04 15:58:21"
